id,aspect,satisfaction
62a345490a77c1a77f65cc5b,rating coworkers,5
62a345490a77c1a77f65cc5b,rating management,4
62a345490a77c1a77f65cc5b,rating upward mobility,3
62a345490a77c1a77f65cc5b,rating learning,4
62a3455bbc6861bf3176d57a,rating salary,6
62a3455bbc6861bf3176d57a,rating worklife balance,7
62a3455bbc6861bf3176d57a,rating coworkers,8
62a3455bbc6861bf3176d57a,rating management,7
62a3455bbc6861bf3176d57a,rating upward mobility,7
62a3455bbc6861bf3176d57a,rating learning,8
62a3457bf8d5efcc22f7da17,rating salary,4
62a3457bf8d5efcc22f7da17,rating worklife balance,7
62a3457bf8d5efcc22f7da17,rating coworkers,6
62a3457bf8d5efcc22f7da17,rating management,4
62a3457bf8d5efcc22f7da17,rating upward mobility,2
62a3457bf8d5efcc22f7da17,rating learning,4
62a345b2bae91e4b8b82fad6,rating salary,0
62a345b2bae91e4b8b82fad6,rating worklife balance,10
62a345b2bae91e4b8b82fad6,rating coworkers,10
62a345b2bae91e4b8b82fad6,rating management,10
62a345b2bae91e4b8b82fad6,rating upward mobility,4
62a345b2bae91e4b8b82fad6,rating learning,2
62a345c47dc029e2d66bf80a,rating salary,6
62a345c47dc029e2d66bf80a,rating worklife balance,6
62a345c47dc029e2d66bf80a,rating coworkers,7
62a345c47dc029e2d66bf80a,rating management,5
62a345c47dc029e2d66bf80a,rating upward mobility,6
62a345c47dc029e2d66bf80a,rating learning,7
62a345e25d257a28a30d8b43,rating salary,7
62a345e25d257a28a30d8b43,rating worklife balance,7
62a345e25d257a28a30d8b43,rating coworkers,5
62a345e25d257a28a30d8b43,rating management,9
62a345e25d257a28a30d8b43,rating upward mobility,7
62a345e25d257a28a30d8b43,rating learning,8
62a34646f8d5efcc22f7dc5c,rating salary,7
62a34646f8d5efcc22f7dc5c,rating worklife balance,7
62a34646f8d5efcc22f7dc5c,rating coworkers,7
62a34646f8d5efcc22f7dc5c,rating management,7
62a34646f8d5efcc22f7dc5c,rating upward mobility,4
62a34646f8d5efcc22f7dc5c,rating learning,7
62a34687f408bae018ed4c52,rating salary,10
62a34687f408bae018ed4c52,rating worklife balance,9
62a34687f408bae018ed4c52,rating coworkers,9
62a34687f408bae018ed4c52,rating management,10
62a34687f408bae018ed4c52,rating upward mobility,9
62a34687f408bae018ed4c52,rating learning,10
62a346a37dc029e2d66bfa6d,rating salary,7
62a346a37dc029e2d66bfa6d,rating worklife balance,8
62a346a37dc029e2d66bfa6d,rating coworkers,6
62a346a37dc029e2d66bfa6d,rating management,5
62a346a37dc029e2d66bfa6d,rating upward mobility,5
62a346a37dc029e2d66bfa6d,rating learning,9
62a346a95d257a28a30d8cb9,rating salary,7
62a346a95d257a28a30d8cb9,rating worklife balance,8
62a346a95d257a28a30d8cb9,rating coworkers,9
62a346a95d257a28a30d8cb9,rating management,7
62a346a95d257a28a30d8cb9,rating upward mobility,7
62a346a95d257a28a30d8cb9,rating learning,7
62a346b4bc6861bf3176d7ce,rating salary,0
62a346b4bc6861bf3176d7ce,rating worklife balance,0
62a346b4bc6861bf3176d7ce,rating coworkers,0
62a346b4bc6861bf3176d7ce,rating management,0
62a346b4bc6861bf3176d7ce,rating upward mobility,0
62a346b4bc6861bf3176d7ce,rating learning,0
62a346cef8f756164585385b,rating salary,4
62a346cef8f756164585385b,rating worklife balance,4
62a346cef8f756164585385b,rating coworkers,3
62a346cef8f756164585385b,rating management,3
62a346cef8f756164585385b,rating upward mobility,5
62a346cef8f756164585385b,rating learning,6
62a346d724a2626027383abd,rating salary,7
62a346d724a2626027383abd,rating worklife balance,9
62a346d724a2626027383abd,rating coworkers,9
62a346d724a2626027383abd,rating management,8
62a346d724a2626027383abd,rating upward mobility,8
62a346d724a2626027383abd,rating learning,9
62a346d90a77c1a77f65d08d,rating salary,6
62a346d90a77c1a77f65d08d,rating worklife balance,8
62a346d90a77c1a77f65d08d,rating coworkers,5
62a346d90a77c1a77f65d08d,rating management,NA
62a346d90a77c1a77f65d08d,rating upward mobility,6
62a346d90a77c1a77f65d08d,rating learning,9
62a34726f8d5efcc22f7dec7,rating salary,3
62a34726f8d5efcc22f7dec7,rating worklife balance,4
62a34726f8d5efcc22f7dec7,rating coworkers,2
62a34726f8d5efcc22f7dec7,rating management,1
62a34726f8d5efcc22f7dec7,rating upward mobility,0
62a34726f8d5efcc22f7dec7,rating learning,4
62a3476c5d257a28a30d8e6d,rating salary,5
62a3476c5d257a28a30d8e6d,rating worklife balance,4
62a3476c5d257a28a30d8e6d,rating coworkers,5
62a3476c5d257a28a30d8e6d,rating management,4
62a3476c5d257a28a30d8e6d,rating upward mobility,3
62a3476c5d257a28a30d8e6d,rating learning,6
62a347b4f8f7561645853a98,rating salary,2
62a347b4f8f7561645853a98,rating worklife balance,4
62a347b4f8f7561645853a98,rating coworkers,6
